 No. , date , time , model , code , Barcode ,Total Rank  ,Upper amount (g), angle (deg), rank ,Lower amount (g), angle (deg), rank ,UP+LO amount (g), rank ,Static amount (g), angle (deg), rank ,Couple amount (g), angle (deg), rank ,LRO-T OA amount (mm), angle (deg), rank ,LRO-B OA amount (mm), angle (deg), rank ,RRO1 OA amount (mm), angle (deg), rank ,RRO2 OA amount (mm), angle (deg), rank ,RRO3 OA amount (mm), angle (deg), rank ,LRO-T 1st amount (mm), angle (deg), rank ,LRO-B 1st amount (mm), angle (deg), rank ,RRO1 1st amount (mm), angle (deg), rank ,RRO2 1st amount (mm), angle (deg), rank ,RRO3 1st amount (mm), angle (deg), rank ,LRO-T 2nd amount (mm), angle (deg), rank ,LRO-B 2nd amount (mm), angle (deg), rank ,RRO1 2nd amount (mm), angle (deg), rank ,RRO2 2nd amount (mm), angle (deg), rank ,RRO3 2nd amount (mm), angle (deg), rank ,LRO-T Nth amount (mm), angle (deg), rank ,LRO-B Nth amount (mm), angle (deg), rank ,RRO1 Nth amount (mm), angle (deg), rank ,RRO2 Nth amount (mm), angle (deg), rank ,RRO3 Nth amount (mm), angle (deg), rank ,LRO-T Bulge amount (mm), angle (deg), rank ,LRO-B Bulge amount (mm), angle (deg), rank ,LRO-T Dent amount (mm), angle (deg), rank ,LRO-B Dent amount (mm), angle (deg), rank ,Circuly value (mm), rank ,OuterDiameter1 value (mm), rank ,OuterDiameter2 value (mm), rank ,OuterDiameter3 value (mm), rank ,RO TOTAL  ,Meas.Pressure value (Kg/f),Weight value (Kg), rank ,Width value (mm), rank 
394300,2023/11/23,00:00:09,15,175/70R13           ,174921,A,26.649,331.5,A,26.353,334.6,A,53.002,A,52.983,333.1,A,1.46,254.8,A,0.774,307.8,A,0.648,351.6,A,0,0,A,0.834,114.2,A,0,0,A,0.407,274.2,A,0.212,0.9,A,0,0,A,0.527,96.2,A,0,0,A,0.264,276.4,A,0.196,332.2,A,0,0,A,0.172,206.1,A,0,0,A,0.059,276.4,A,0.031,332.2,A,0,0,A,0.099,206.1,A,0,0,A,0.333,6.5,A,0.409,1.1,A,0.341,358.1,A,0.348,6.6,A,0.467,A,0,A,597.766,A,0,A,A,0,0,OK,0,A
394301,2023/11/23,00:00:38,15,175/70R13           ,174922,A,9.873,59.1,A,19.093,3.3,A,28.965,A,25.953,21.6,A,15.825,152.2,A,0.455,96.5,A,0.463,100.3,A,0,0,A,0.76,340.1,A,0,0,A,0.003,199.5,A,0.152,356.3,A,0,0,A,0.303,32.6,A,0,0,A,0.191,148.4,A,0.119,24.4,A,0,0,A,0.154,288.5,A,0,0,A,0.073,148.4,A,0.014,24.4,A,0,0,A,0.084,289,A,0,0,A,0.413,231.7,A,0.434,99.7,A,0.508,240.9,A,0.468,91.9,A,0.352,A,0,A,597.36,A,0,A,A,0,0,OK,0,A
394302,2023/11/23,00:01:07,15,175/70R13           ,175439,A,46.395,51.7,A,10.263,12.5,A,56.658,A,54.736,44.9,A,38.982,61.3,A,0.65,108.5,A,1.522,209.7,A,0,0,A,0.671,93.5,A,0,0,A,0.107,57.2,A,0.848,244.8,A,0,0,A,0.368,120.4,A,0,0,A,0.093,176.6,A,0.306,14.3,A,0,0,A,0.267,157.1,A,0,0,A,0.056,176.6,A,0.107,14.3,A,0,0,A,0.006,157.1,A,0,0,A,0.42,155.7,A,0.335,200,A,0.411,153.2,A,0.66,95.7,A,0.329,A,0,A,597.361,A,0,A,A,0,0,OK,0,A
394303,2023/11/23,00:01:35,15,175/70R13           ,175440,A,16.951,121.2,A,30.005,66.1,A,46.956,A,42.077,85.4,A,24.593,211.7,A,0.756,63.7,A,0.604,55.8,A,0,0,A,0.388,78,A,0,0,A,0.222,303.2,A,0.031,97.4,A,0,0,A,0.267,77.5,A,0,0,A,0.155,93.3,A,0.213,13.4,A,0,0,A,0.111,192,A,0,0,A,0.02,93.3,A,0.083,13.4,A,0,0,A,0.05,192.7,A,0,0,A,0.427,12,A,0.408,359.6,A,0.503,5.2,A,0.422,326.9,A,0.197,A,0,A,597.336,A,0,A,A,0,0,OK,0,A
394304,2023/11/23,00:02:03,15,175/70R13           ,175360,A,19.729,300.6,A,19.766,329.4,A,39.496,A,38.251,315,A,9.837,224.8,A,0.632,201.5,A,0.81,272.7,A,0,0,A,0.369,345.8,A,0,0,A,0.489,197.1,A,0.521,280.9,A,0,0,A,0.069,124.5,A,0,0,A,0.116,276.2,A,0.068,132.2,A,0,0,A,0.151,341,A,0,0,A,0.009,276.2,A,0.009,132.2,A,0,0,A,0.05,341,A,0,0,A,0.379,102.2,A,0.426,102.7,A,0.53,90.5,A,0.617,92.5,A,0.248,A,0,A,597.096,A,0,A,A,0,0,OK,0,A
394305,2023/11/23,00:02:32,15,175/70R13           ,174918,A,16.363,89.9,A,22.664,45.9,A,39.027,A,36.262,64.2,A,15.744,179.7,A,0.812,264.4,A,0.458,15.4,A,0,0,A,0.445,346.1,A,0,0,A,0.327,223,A,0.044,122.2,A,0,0,A,0.08,51.9,A,0,0,A,0.345,174.1,A,0.072,338.6,A,0,0,A,0.103,265.9,A,0,0,A,0.09,174.1,A,0.039,338.6,A,0,0,A,0.03,263.1,A,0,0,A,0.49,102.2,A,0.969,359,A,0.579,90,A,0.934,6.7,A,0.265,A,0,A,597.354,A,0,A,A,0,0,OK,0,A
394306,2023/11/23,00:03:00,15,175/70R13           ,884388,A,52.687,222.2,A,18.853,237.6,A,71.54,A,71.043,226.3,A,34.866,214,A,1.018,69.6,A,0.949,246.5,A,0,0,A,0.489,204.1,A,0,0,A,0.59,86.1,A,0.607,255.7,A,0,0,A,0.285,245,A,0,0,A,0.473,179.3,A,0.366,326.3,A,0,0,A,0.193,127.6,A,0,0,A,0.043,179.3,A,0.04,326.3,A,0,0,A,0.023,127.6,A,0,0,A,0.383,326.1,A,0.348,324.8,A,0.342,157.8,A,0.351,61.3,A,0.284,A,0,A,597.508,A,0,A,A,0,0,OK,0,A
394307,2023/11/23,00:03:28,15,175/70R13           ,175356,A,25.563,13.2,A,10.076,53.9,A,35.639,A,33.843,24.4,A,19.096,353.1,A,0.813,324.5,A,0.79,181,A,0,0,A,0.392,243.9,A,0,0,A,0.447,315.9,A,0.405,196.3,A,0,0,A,0.081,15.5,A,0,0,A,0.075,114.8,A,0.233,325.4,A,0,0,A,0.169,127.5,A,0,0,A,0.06,114.8,A,0.057,325.4,A,0,0,A,0.087,127.4,A,0,0,A,0.349,358,A,0.516,355.3,A,0.494,93,A,0.643,91.5,A,0.317,A,0,A,597.369,A,0,A,A,0,0,OK,0,A
394308,2023/11/23,00:03:58,15,175/70R13           ,175217,A,23.699,11.8,A,15.177,314.8,A,38.876,A,34.401,350.1,A,20.013,51.3,A,0.54,73,A,1.118,138.9,A,0,0,A,0.731,77.5,A,0,0,A,0.25,79.5,A,0.4,228.3,A,0,0,A,0.291,54,A,0,0,A,0.104,249,A,0.345,287.3,A,0,0,A,0.168,172.7,A,0,0,A,0.077,249,A,0.118,287.3,A,0,0,A,0.105,172.7,A,0,0,A,0.33,0,A,0.385,358,A,0.305,280.3,A,0.672,105.5,A,0.429,A,0,A,597.335,A,0,A,A,0,0,OK,0,A
394309,2023/11/23,00:04:27,15,175/70R13           ,175218,A,15.106,9.8,A,16.356,18.1,A,31.462,A,31.381,14.1,A,2.583,255.1,A,0.849,34.5,A,0.593,256.7,A,0,0,A,0.51,77.1,A,0,0,A,0.364,332.8,A,0.024,285,A,0,0,A,0.299,49.7,A,0,0,A,0.357,46.1,A,0.171,102,A,0,0,A,0.084,237.5,A,0,0,A,0.082,46.1,A,0.085,102,A,0,0,A,0.024,233.4,A,0,0,A,0.376,359,A,0.335,88.1,A,0.464,205,A,0.351,93.7,A,0.233,A,0,A,597.197,A,0,A,A,0,0,OK,0,A
