1907,7-May-23,Sunday,1,Q01095055,Q,0,1,0,9,5,0,5,5,
1906,4-May-23,Thursday,1,X06091213,X,0,6,0,9,1,2,1,3,
1905,3-May-23,Wednesday,1,X04134677,X,0,4,1,3,4,6,7,7,
1904,2-May-23,Tuesday,1,J35627577,J,3,5,6,2,7,5,7,7,
1903,1-May-23,Monday,1,A15344163,A,1,5,3,4,4,1,6,3,
1902,30-Apr-23,Sunday,1,R02134650,R,0,2,1,3,4,6,5,0,
1901,29-Apr-23,Saturday,1,O04487273,O,0,4,4,8,7,2,7,3,
1900,28-Apr-23,Friday,1,E08373962,E,0,8,3,7,3,9,6,2,
1899,27-Apr-23,Thursday,1,F04081219,F,0,4,0,8,1,2,1,9,
1898,26-Apr-23,Wednesday,1,G21596975,G,2,1,5,9,6,9,7,5,
1897,25-Apr-23,Tuesday,1,H23245051,H,2,3,2,4,5,0,5,1,
1896,24-Apr-23,Monday,1,D37445664,D,3,7,4,4,5,6,6,4,
1895,23-Apr-23,Sunday,2,O27444754,O,2,7,4,4,4,7,5,4,
1894,22-Apr-23,Saturday,2,Z39445169,Z,3,9,4,4,5,1,6,9,
1893,21-Apr-23,Friday,2,O21394356,O,2,1,3,9,4,3,5,6,
1892,20-Apr-23,Thursday,2,B02176274,B,0,2,1,7,6,2,7,4,
1891,19-Apr-23,Wednesday,2,H09466475,H,0,9,4,6,6,4,7,5,
1890,18-Apr-23,Tuesday,2,H16323849,H,1,6,3,2,3,8,4,9,
1889,12-Apr-23,Wednesday,2,U03183856,U,0,3,1,8,3,8,5,6,
1888,11-Apr-23,Tuesday,2,B25282949,B,2,5,2,8,2,9,4,9,
1887,10-Apr-23,Monday,2,H03454967,H,0,3,4,5,4,9,6,7,
1886,9-Apr-23,Sunday,2,N38405571,N,3,8,4,0,5,5,7,1,
1885,8-Apr-23,Saturday,2,T05222941,T,0,5,2,2,2,9,4,1,
1884,7-Apr-23,Friday,2,U35464859,U,3,5,4,6,4,8,5,9,
1883,6-Apr-23,Thursday,3,C04085053,C,0,4,0,8,5,0,5,3,
1882,5-Apr-23,Wednesday,3,U11185162,U,1,1,1,8,5,1,6,2,
1881,4-Apr-23,Tuesday,3,W04103658,W,0,4,1,0,3,6,5,8,
1880,3-Apr-23,Monday,3,W26455975,W,2,6,4,5,5,9,7,5,
1879,2-Apr-23,Sunday,3,Z17355168,Z,1,7,3,5,5,1,6,8,
1878,1-Apr-23,Saturday,3,N06334463,N,0,6,3,3,4,4,6,3,
1877,31-Mar-23,Friday,3,V02071044,V,0,2,0,7,1,0,4,4,
1876,30-Mar-23,Thursday,3,J46506270,J,4,6,5,0,6,2,7,0,
1875,29-Mar-23,Wednesday,3,E24354251,E,2,4,3,5,4,2,5,1,
1874,28-Mar-23,Tuesday,3,B07283334,B,0,7,2,8,3,3,3,4,
1873,27-Mar-23,Monday,3,P32516871,P,3,2,5,1,6,8,7,1,
1872,26-Mar-23,Sunday,3,D15224452,D,1,5,2,2,4,4,5,2,
1871,25-Mar-23,Saturday,4,J13325058,J,1,3,3,2,5,0,5,8,
1870,24-Mar-23,Friday,4,W04123552,W,0,4,1,2,3,5,5,2,
1869,23-Mar-23,Thursday,4,P10546468,P,1,0,5,4,6,4,6,8,
1868,22-Mar-23,Wednesday,4,N14252636,N,1,4,2,5,2,6,3,6,
1867,21-Mar-23,Tuesday,4,P10405367,P,1,0,4,0,5,3,6,7,
1866,20-Mar-23,Monday,4,V12276972,V,1,2,2,7,6,9,7,2,
1865,19-Mar-23,Sunday,4,O23254075,O,2,3,2,5,4,0,7,5,
1864,18-Mar-23,Saturday,4,N08202277,N,0,8,2,0,2,2,7,7,
1863,17-Mar-23,Friday,4,P03356373,P,0,3,3,5,6,3,7,3,
1862,16-Mar-23,Thursday,4,G10384256,G,1,0,3,8,4,2,5,6,
1861,15-Mar-23,Wednesday,4,J31325061,J,3,1,3,2,5,0,6,1,
1860,14-Mar-23,Tuesday,4,J08181922,J,0,8,1,8,1,9,2,2,
